gid,assignee_gid,assignee_resource_type,assignee_status,completed,completed_at,created_at,due_at,due_on,hearted,modified_at,name,notes,num_hearts,parent,workspace_gid,workspace_resource_type,project_id,assignee,parent_gid,parent_resource_type,_BATCH_ID_,_BATCH_LAST_RUN_
1207745310135146,,,upcoming,false,,2024-07-05 14:23:11,,,false,2025-10-06 12:09:59,Silver Oaks,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612836,,,upcoming,false,,2024-07-05 14:24:19,,,false,2025-10-06 12:10:01,The Heights at Hammond,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612839,,,upcoming,false,,2024-07-05 14:24:31,,,false,2025-10-06 12:10:02,Sweetwater,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612842,,,upcoming,false,,2024-07-05 14:24:46,,,false,2025-10-06 12:10:04,The Waters at Southpark,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612845,,,upcoming,false,,2024-07-05 14:24:58,,,false,2025-10-06 12:10:22,Dawson Park,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612848,,,upcoming,false,,2024-07-05 14:25:05,,,false,2025-10-06 12:10:24,The Waters at Hammond,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612851,,,upcoming,false,,2024-07-05 14:25:17,,,false,2025-10-06 12:10:26,The Waters at Manhattan,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612927,,,upcoming,false,,2024-07-05 14:53:07,,,false,2025-10-06 12:10:27,The Waters at Ransley,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612854,,,upcoming,false,,2024-07-05 14:26:03,,,false,2025-06-27 15:06:56,The Waters at Heritage,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612858,,,upcoming,false,,2024-07-05 14:27:12,,,false,2025-06-27 15:06:57,The Waters at Millerville,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612862,,,upcoming,false,,2024-07-05 14:27:33,,,false,2025-06-27 15:06:58,The Waters at Redstone,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612865,,,upcoming,false,,2024-07-05 14:27:46,,,false,2025-06-27 15:06:59,The Waters at Settler's Trace,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612869,,,upcoming,false,,2024-07-05 14:28:13,,,false,2025-10-06 12:10:13,The Flats at East Bay,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676051,,,upcoming,false,,2024-07-08 14:23:49,,2023-01-31,false,2025-06-27 15:07:03,Start 1,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612873,,,upcoming,false,,2024-07-05 14:28:37,,,false,2025-06-27 15:07:04,The Waters at West Village,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676055,,,upcoming,false,,2024-07-08 14:24:10,,2023-03-24,false,2025-06-27 15:07:05,Start 2,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612875,,,upcoming,false,,2024-07-05 14:28:44,,,false,2025-06-27 15:07:06,The Waters at Bluebonnet,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676059,,,upcoming,false,,2024-07-08 14:24:37,,2023-05-31,false,2025-06-27 15:07:06,Start 3,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612880,,,upcoming,false,,2024-07-05 14:29:04,,,false,2025-06-27 15:07:07,The Waters at Crestview,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676063,,,upcoming,false,,2024-07-08 14:25:04,,2023-08-01,false,2025-06-27 15:07:08,Start 4,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612884,,,upcoming,false,,2024-07-05 14:29:46,,,false,2025-06-27 15:07:09,The Heights at Picardy,4-Story,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676067,,,upcoming,false,,2024-07-08 14:25:38,,2024-01-25,false,2025-06-27 15:07:10,Start 1,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223774,,,upcoming,false,,2024-06-11 13:56:21,,,false,2025-06-27 15:07:11,The Waters at McGowin,"Base
Mobile, AL",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676071,,,upcoming,false,,2024-07-08 14:25:58,,2024-04-15,false,2025-06-27 15:07:15,Start 2,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223819,,,upcoming,false,,2024-06-11 14:11:32,,,false,2025-06-27 15:07:16,The Waters at Freeport,"Location: Freeport, FL
Closing: 9/15/2023
Price: $8,900,000.00
Sq. Ft. Price: $12.50
Units: 226
Acreage: 16.35",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676075,,,upcoming,false,,2024-07-08 14:26:17,,2024-07-15,false,2024-07-25 09:45:57,Start 3,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223845,,,upcoming,false,,2024-06-11 14:14:04,,,false,2024-09-23 10:29:29,The Heights at Waterpointe,"Location: Flowood, MS
Closing: 4/9/2024
Price: $3,700,000.00
Sq. Ft. Price: $26.06
Units: 240
Acreage: 3.26 + Parking Garage",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676079,,,upcoming,false,,2024-07-08 14:26:39,,2024-09-15,false,2024-07-26 10:26:12,Start 4,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223865,,,upcoming,false,,2024-06-11 14:15:19,,2024-07-31,false,2025-01-02 10:48:22,The Waters at Promenade,"Location: Harvey, LA
Closing: 7/31/2024
Price: $4,256,000.00
Sq. Ft Price: $7.97
Units: 324
Acres: 12.26",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676083,,,upcoming,false,,2024-07-08 14:26:59,,2024-11-15,false,2024-07-26 10:26:32,Start 5,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223882,,,upcoming,false,,2024-06-11 14:17:09,,,false,2025-01-02 10:48:25,The Flats at Ransley,"Location: Pensacola, FL
Closing: 8/25/2023
Price: $5,104,361.00
Sq. Ft. Price: $10.50
Units: 294
Acres: 11.16",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676087,,,upcoming,false,,2024-07-08 14:27:17,,2025-01-15,false,2024-07-26 10:27:00,Start 1,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223889,,,upcoming,false,,2024-06-11 14:18:36,,,false,2025-12-30 09:13:41,The Heights at Materra,"Location: Baton Rouge, LA
Closing: 4/19/2024
Price: $5,608,726.00
Sq. Ft. Price:
Units: 294
Acreage: 8",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676091,,,upcoming,false,,2024-07-08 14:27:39,,2025-03-15,false,2024-07-26 10:27:12,Start 2,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223900,,,upcoming,false,,2024-06-11 14:19:26,,,false,2025-08-08 08:28:22,The Waters at Crosspointe,"Columbia, SC",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676099,,,upcoming,false,,2024-07-08 14:28:04,,2025-05-15,false,2024-07-26 10:27:32,Start 3,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223907,,,upcoming,false,,2024-06-11 14:20:26,,,false,2025-12-30 09:14:59,The Heights at Inverness,"Location: Birmingham, AL
Closing: 30 days after Due Diligence Period expires
Price: $6,750,000.00
Sq. Ft. Price: $11.92
Units: 289
Acres: approx. 13",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676103,,,upcoming,false,,2024-07-08 14:28:36,,2025-08-15,false,2024-07-26 10:27:46,Start 4,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1208537819259246,,,upcoming,false,,2024-10-25 15:30:43,,,false,2025-12-30 09:15:25,The Waters at Conway,"Location: Gonzales, LA
Closing: 30 days after Due Diligence Period expires
Price: $5,000,000.00
Sq. Ft. Price: $5.72
Units: 312
Acres: 20.08",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676107,,,upcoming,false,,2024-07-08 14:29:47,,2025-10-15,false,2024-07-26 10:27:57,Start 5,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223910,,,upcoming,false,,2024-06-11 14:21:28,,2025-06-30,false,2025-12-30 09:15:46,The Waters at Covington,"Location: Covington, LA
Closing: At Permits
Price: $3,588,473.00
Sq. Ft. Price: $6.00
Units: 348
Acres: 13.73",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676111,,,upcoming,false,,2024-07-08 14:30:06,,2025-12-15,false,2024-07-26 10:28:10,Start 6,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676016,,,upcoming,false,,2024-07-08 14:20:01,,2026-04-15,false,2025-11-19 15:15:24,Start 1 Gulf Coast,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1210581478251901,,,upcoming,false,,2025-06-18 07:28:02,,,false,2025-12-30 09:26:05,The Heights at Fort Walton Beach,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676019,,,upcoming,false,,2024-07-08 14:20:33,,2026-01-19,false,2026-01-05 07:12:16,Start 1 Carolinas,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207745312612904,,,upcoming,false,,2024-07-05 14:34:27,,2026-01-19,false,2026-01-05 07:16:28,The Waters at Robinwood,"Location: Charlotte, NC
Closing: September 5
Price: $4,867,500
Sq. Ft. Price: $4.16
Units: 288
Acres: 26.84",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676024,,,upcoming,false,,2024-07-08 14:20:50,,2026-06-15,false,2025-11-19 15:15:40,Start 2 Gulf Coast,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1211442037037478,,,upcoming,false,,2025-09-23 12:21:33,,,false,2026-01-02 08:31:44,The Waters at Sweetbay,"Panama City, FL",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676027,,,upcoming,false,,2024-07-08 14:21:01,,2026-03-18,false,2026-01-05 07:16:04,Start 2 Carolinas,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1210174521957464,,,upcoming,false,,2025-05-06 11:17:42,,,false,2026-01-05 07:12:39,The Waters at Greenville,"Greenville, NC

Current address is: 2931 Radio Station Rd Greenville, NC 27834. 

The property is an assemblage of 3 separate parcels. ",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676030,,,upcoming,false,,2024-07-08 14:21:18,,2026-07-15,false,2025-11-19 15:15:54,Start 3 Gulf Coast,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1208537819259248,,,upcoming,false,,2024-10-25 15:33:52,,2026-01-15,false,2025-12-30 09:26:27,The Waters at Bartlett,"Location: Bartlett, TN
Closing: The later of January 15, 2026 or within 10 days of receiving construction permits
Price: $4,000,000
Sq. Ft. Price: $3.67
Units: 312
Acres: +/-25
Extension of Inspection Period: Purchaser shall have the option to extend the Initial Inspection Period for two sixty (60) day periods upon the following terms: (i) Purchaser must deliver written notice of the first such extension to Seller prior to the expiration of the Initial Inspection Period, and notice of the second such extension to Seller prior to the expiration of the first Extension Period, and (ii) Purchaser must deposit additional earnest money with Escrow Agent in the amount of Twenty Five Thousand and No/100 Dollars ($25,000.00) (the “Additional Deposits”), prior to the commencement of each Extension Period. The Additional Deposit shall be non-refundable when made, subject to a default by Seller, but the Additional Deposit shall be applicable to the Purchase Price.",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676033,,,upcoming,false,,2024-07-08 14:21:32,,2026-08-01,false,2026-01-05 07:13:03,Start 3 Carolinas,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1210581478251910,,,upcoming,false,,2025-06-18 07:29:00,,,false,2026-01-05 07:12:42,The Waters at Fayetteville,"Fayetteville, NC

The current address is 7563 Raeford Fayetteville NC 28304",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676036,,,upcoming,false,,2024-07-08 14:21:48,,2026-10-15,false,2025-11-19 15:16:15,Start 4 Gulf Coast,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207541673223917,,,upcoming,false,,2024-06-11 14:22:18,,2025-08-21,false,2026-01-05 17:20:03,The Waters at OWA,"Location: Foley, AL
Closing: 30 days after expiration of Inspection Period
Price: $2,012,472
Sq. Ft. Price: Subject to adjustment pending actual square footage of land — $2.20 per square foot of land
Units: 324
Acres: +/- 21",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1207757865676039,,,upcoming,false,,2024-07-08 14:22:11,,2026-11-16,false,2026-01-05 07:14:03,Start 4 Carolinas,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1208537819259247,,,upcoming,false,,2024-10-25 15:31:30,,,false,2026-01-05 07:13:10,The Waters at New Bern,"New Bern, NC

The current address is 3610 M L King JR Blvd New Bern, NC 28562",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1210581475723334,,,upcoming,false,,2025-06-18 07:25:49,,2027-01-15,false,2025-11-19 15:57:03,Start 1 Gulf Coast,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1208537819259250,,,upcoming,false,,2024-10-25 15:34:29,,2026-03-24,false,2025-12-04 11:15:15,The Flats at Cahaba Valley,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1210581475723336,,,upcoming,false,,2025-06-18 07:26:34,,2027-02-15,false,2026-01-05 07:15:26,Start 1 Carolinas,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1208537819259249,,,upcoming,false,,2024-10-25 15:34:09,,,false,2026-01-05 07:14:12,The Flats at Lake Murray,"Irmo, SC

All parcels will technically be in Columbia, SC following annexation. 

The property address is currently 450 Lake Murray Blvd, Irmo, SC 29063

The property is an assemblage of 5 parcels. ",0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
1210581475723338,,,upcoming,false,,2025-06-18 07:26:52,,2027-04-15,false,2025-11-19 15:57:09,Start 2 Gulf Coast,,0,,543185907056595,workspace,1207455912614114,,,,112.0,2026-01-06 09:59:56
