UnderContractId,ProjectId,ProjectName,Location,Region,Acreage,Units,Price,PricePerSF,ExecutionDate,DueDiligenceDate,ClosingDate,PurchasingEntity,CashFlag,OpportunityZoneFlag,Notes
1,58.0,The Waters at OWA,"Foley, AL",Gulf Coast,21,312,"$2,012,472.00",$2.20,9/16/2024,3/31/2026,4/30/2026,SPE,True,True,"Closing to extend 60 days if Seller defaults. Drafted 30 day extension to send to OWA for
review."
2,66.0,The Waters at Southpoint,"Hardeeville, SC",Carolinas,17.733,288,"$7,920,000.00",$10.25,7/19/2024,6/16/2025,7/16/2025,SPE,True,True,
3,42.0,The Waters at Bartlett,"Bartlett, TN",Gulf Coast,25,324,"$4,000,000.00",$3.67,2/26/2025,4/30/2026,4/30/2026,SPE,True,True,
4,9.0,Cahaba Valley Project,"Birmingham, AL",Gulf Coast,14.46,280,"$4,750,000.00",$7.54,5/30/2025,2/24/2026,3/26/2026,SPE,True,True,
5,15.0,Greenville Project,"Greenville, NC",Carolinas,20.38,324,"$3,800,000.00",$4.28,6/16/2025,12/24/2025,1/22/2026,SPE,True,True,"Option to extend for one 30 day period with written notice prior to expiration of initial
inspection period and additional earnest money of $50,000"
6,14.0,Fort Walton Beach Project,"Fort Walton Beach, FL",Gulf Coast,7.5,266,"$6,900,000.00",$21.12,7/1/2025,1/28/2026,1/15/2026,SPE,True,True,
7,57.0,The Waters at New Bern,"New Bern, NC",Carolinas,14.5,264,"$4,000,000.00",$6.33,8/21/2025,1/18/2026,2/17/2026,SPE,True,True,"Option to extend for two forty-five day periods. Purchase must deliver written notice of
extension 30 days prior to expiration of inital Inspection Period and fourteen (14) days
prior to second extension. Must non-refundable deposit additional earnest money with
escrow agent in the amount of $20,0000 prior to commencement of each extension
period"
8,17.0,Lake Murray,"Columbia, SC",Carolinas,18.84,300,"$5,415,000.00",$6.60,9/30/2025,3/29/2026,4/28/2026,SPE,True,True,"Purchase has the option to extend Inspection for up to two sixty (60) day periods. Must
notify seller 30 days prior to expiration of first Inspection Period. Much depoist
additional earnest money in the amount of $10,000 before commencemnt of each
extension."
9,67.0,The Waters at SweetBay,"Panama City, FL",Gulf Coast,12.8,288,"$6,000,000.00",$10.76,11/16/2025,2/12/2026,3/14/2026,SPE,True,True,"Buyer shall have the right to extend the Due Diligence Period for two (2) successive
periods of thirty (30) days each by providing written notice to Seller, at least ten (10)
days prior to the thenexpiration of the Due Diligence Period, of its election to extend the
Due Diligence Period, accompanied by payment to Seller in immediately available funds"
10,48.0,The Waters at Fayetteville,"Fayetteville, NC",Carolinas,14.45,312,"$4,250,000.00",$6.75,12/8/2025,3/8/2026,4/7/2026,SPE,True,True,"Poufr ac hnaosne-rr eshfuanlld haabvlee tfheere ien 3th0e-d aamy oexutnetn osfio TnW pEeNriToYd- FoIpVtEio TnHsO foUrS aAnN aDd AdNitDio nNaOl /n1o0n0-
refundable extension fee of $25,000 each that will be applied to the purchase price."
11,,,,,,,,,,,,,True,True,
12,,,,,,,,,,,,,True,True,
13,,,,,,,,,,,,,True,True,
14,,,,,,,,,,,,,True,True,
15,,,,,,,,,,,,,True,True,
