Project,Participating Banks,Percentages,Exposure,Project_2,Participating Banks_2,Percentages_2,Exposure_2,Paid Off
,,,,,,,,
The Waters at Settlers Trace,b1Bank,0.3199900000000001,15998489.471580006,The Waters at Hammond,b1Bank,0.44479599999999997,14019969.92,14019969.92
49996842,The Citizens Bank,0.16001,7999994.6884200005,31520000,First National Bank USA,0.079315,2500008.8,2500008.8
,Rayne State Bank,0.04,1999873.68,,St Landry Bank,0.079315,2500008.8,2500008.8
,Catalyst Bank,0.1,4999684.2,,The Citizens Bank,0.206218,6499991.36,6499991.36
,Community First Bank,0.1,4999684.2,,Citizens Savings Bank,0.095178,3000010.56,3000010.56
,BOM Bank,0.1,4999684.2,,BOM Bank,0.095178,3000010.56,3000010.56
,CLB Bank,0.08,3999747.36,,,,,
,FNB Jeanerette,0.1,4999684.2,The Waters at Manhatton,b1Bank,0.40364998753476233,15567672.0,15567672.0
,,,,38567255,First American Bank & Trust,0.46671,17999723.58105,17999723.58105
The Waters at Millerville,First Horizon Bank,1,36200000.0,,Liberty Bank,0.1296400016023956,4999859.0,4999859.0
36200000,,,,,,,,
,,,,The Waters at Heritage,b1Bank,0.44391,16521514.590839703,16521514.590839703
The Waters at Redstone,Renasant Bank,0.6666666666666666,20000000.0,37218162.67,United Mississippi,0.05373,1999731.8802591,1999731.8802591
30000000,Bryant Bank,0.16666666666666666,5000000.0,,Richton Bank & Trust,0.02686,999679.8493162,999679.8493162
,Home Bank,0.16666666666666666,5000000.0,,Citizens Bank & Trust,0.03223,1199541.3828541,1199541.3828541
,,,,,Currency Bank,0.05373,1999731.8802591,1999731.8802591
The Waters at West Village,Trustmark Bank,0.8034356531679901,20436962.911046933,,Winnsboro State Bank & Trust,0.02686,999679.8493162,999679.8493162
25436962.911046933,Red River Bank,0.19656434683200985,5000000.0,,Gibsland Bank & Trust,0.05373,1999731.8802591,1999731.8802591
,,,,,Magnolia State Bank,0.04029,1499519.7739743001,1499519.7739743001
The Waters at Bluebonnet,Trustmark Bank,0.5930939115134644,23612626.20142891,,American Bank & Trust,0.02686,999679.8493162,999679.8493162
39812626.201428905,b1Bank,0.04270002163130313,1700000.0,,JD Bank,0.13434,4999887.9730878,4999887.9730878
,JD Bank,0.17582361848183642,7000000.0,,Rayne State Bank,0.0806,2999783.9112020005,2999783.9112020005
,Home Bank,0.18838244837339616,7500000.0,,Farmers State Bank,0.02686,999679.8493162,999679.8493162
,,,,,,,,
The Waters at Crestview,Renasant Bank,1,33000000.0,The Waters at Ransley,The First,0.5291005291005291,20000000.0,20000000.0
33000000,Investar Bank,0,0.0,37800000,Bank Plus,0.4708994708994709,17800000.0,17800000.0
,Bryant Bank,0,0.0,,,,,
,Home Bank,0,0.0,The Flats at East Bay,Cadence Bank,1.0,31599189.0,31599189.0
,,,,31599189,,,,
The Heights at Picardy,b1Bank,0.4716759351391561,16962776.0,,,,,
35962776,First National Bank USA,0.0834195891885543,3000000.0,,,,,
,St Landry Bank,0.06951632432379524,2500000.0,,,,,
,Plaquemine Bank,0.0278065297295181,1000000.0,,,,,
,Liberty Bank,0.1390326486475905,5000000.0,,,,,
,Citizens Bank & Trust,0.0834195891885543,3000000.0,,,,,
,Bank of Zachary,0.12512938378283145,4500000.0,,,,,
,,,,,,,,
The Waters at McGowin,Fidelity Bank,0.37717143488366195,12000000.0,,,,,
31815771,Gulf Coast Bank and Trust,0.22208391555244725,7065771.0,,,,,
,The Citizens National Bank of Meridian,0.15715476453485913,5000000.0,,,,,
,Southern Bancorp,0.1492970263081162,4750000.0,,,,,
,Southern Heritage Bank,0.09429285872091549,3000000.0,,,,,
,,,,,,,,
The Waters at Freeport,Pen-Air Credit Union,0.5428571428571428,19000000.0,,,,,
35000000,JD Bank,0.21428571428571427,7500000.0,,,,,
,RadiFi Federal Credit Union,0.07142857142857142,2500000.0,,,,,
,Avadian Credit Union,0.05714285714285714,2000000.0,,,,,
,Heart of Louisiana Federal Credit Union,0.04285714285714286,1500000.0,,,,,
,Mutual Federal Credit Union,0.02857142857142857,1000000.0,,,,,
,Aneca Federal Credit Union,0.02857142857142857,1000000.0,,,,,
,Red River Employees Federal Credit Union,0.014285714285714285,500000.0,,,,,
,,,,,,,,
The Heights at Waterpointe,Trustmark Bank,0.461994371799765,15000000.0,,,,,
32467928,The Citizens National Bank of Meridian,0.26900343009261324,8733984.0,,,,,
,First US Bank,0.26900343009261324,8733984.0,,,,,
,,,,,,,,
The Waters at Promenade,b1Bank,0.6784605868815456,29540541.0,,,,,
43540541,United Community Bank - Louisiana,0.11483550468516227,5000000.0,,,,,
,Community Bank of Louisiana,0.11483550468516227,5000000.0,,,,,
,Synergy Bank,0.09186840374812982,4000000.0,,,,,
,,,,,,,,
The Flats at Ransley,Hancock Whitney,0.7410960605073005,23418034.483125623,,,,,
38624364,Renasant Bank,0.25890393949269946,10000000.0,,,,,
,,,,,,,,
The Heights at Materra,First Horizon Bank,1,36573000.0,,,,,
36573000,,,,,,,,
,,,,,,,,
The Waters at Crosspointe,Wells Fargo,1,41580000.0,,,,,
41580000,,,,,,,,
,,,,,,,,
The Heights at Inverness,Hancock Whitney,1,41874574.0,,,,,
41874574,,,,,,,,
,,,,,,,,
The Waters at Conway,b1Bank,1,41874574.0,,,,,
41874574,,,,,,,,
,,,,,,,,
The Waters at Covington,Hancock Whitney,1,41874574.0,,,,,
41874574,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Total,546679095.5956016,,,,,
,,Check,-83749148.00000012,,,,,
