Birth Order,Property Name,Location,# of Units,Pref or Mezz?,% Stoa-Owned,Construction Start Date,Construction Completion Date,% Complete as of X Date,Lease-Up Start Date,Lease-up Completed Date,% Occupied as of X Date,Project Cost,Project Cost/Unit,Construction Loan Amount,Construction Loan LTC,Construction Financing Lender,Construction Loan Closing,Common Equity Requirement,Permanent Financing Close Date,Permanent Financing Value,per Unit Value,Permanent Financing Lender,Permancent Financing Loan Amount,Permanent Financing LTV,Permanent Interest Rate,Cash-out at Refi (Project-Level),Cash-out at Refi (Stoa),Residual Monthly Cash-Flow (Stoa),NOI,NOI per Unit,Average Rent,Yield on Cost,Debt Yield,Stabilized CoC Returns,Projected Sale Price,per Unit Sale Price,Sale Date,Projected Sale Cap Rate,Project Profit,Projected IRR,Final Cost Projected Over/(Under),Current DSCR,Current FCF,col_3,col_4,col_5,col_6
Stabilized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,The Waters at Hammond,"Hammond, LA",312.0,N/A,0.914,2020-10-27,2022-08-24,1.0,2021-12-31,2023-05-30,0.9455,41054522.00999999,131585.00644230767,31520000.0,0.7677595172663906,b1Bank,2020-09-24,-5000000.0,2024-04-24 00:00:00,61855020,198253.26923076922,Berkadia (HUD),39364000,0.6363913551398092,0.0548,1822719.3699999943,1828000,12788.57832,3092751.0,9912.663461538461,1410.871153846154,0.08298048139910619,0.09812027284263959,0.17210298413042208,61883333.715761214,198344.01831974747,2034-04-30,0.071,37969687.501174115,0.2829317629337311,1657441.3434289321,1.189370024902906,37975.34749692143,0.5807698899812268,5.160099598000002,0.2790519877675841,0.5807698899812268
10,The Waters at Millerville,"Baton Rouge, LA",295.0,N/A,0.0,2022-07-01,2024-07-02,1.0,2023-11-30,2025-03-31,0.9322,45711730.339999996,154955.0181016949,36200000.0,0.7919192673466406,First Horizon,2022-06-13,-8500000.0,2026-04-30 00:00:00,54255154.7826087,183915.7789240973,Berkadia (HUD),41741692.29857661,0.7693590123524403,0.0525,4177122.7732756976,0,0,3119671.4000000004,10575.157288135595,1500.76986440678,0.06985999821594154,0.08617876795580112,0.11428190340923412,62756143.478991576,212732.68975929348,2035-12-31,0.06716666666666667,31228510.86448016,0.16067231297492984,983880.4951023608,1.189370024902906,37975.34749692143,0.19626291052480882,,,
11,The Waters at Redstone,"Crestview, FL",240.0,Pref,0.855,2022-08-10,2024-07-25,1.0,2024-01-31,2025-01-31,0.8917,40081079.040000014,167004.49600000007,30000000.0,0.7484828432403398,Renasant Bank,2022-02-25,-4764826.360000014,2026-05-31 00:00:00,46085961.23064928,192024.83846103866,Berkadia (HUD),35037199.228017345,0.7602575338000328,0.0535,0,0,0,2649942.7707623336,11041.428211509723,1534.3569999999997,0.06761152233595986,0.08833142569207779,0,45649999.99428121,190208.33330950505,2026-03-31,0.059710941,7954454.326665746,0.21850908398628238,1793253.6574280038,0.7978870251584259,-45910.028404291836,0.21081179828467778,,,
,,,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under Construction / Lease-Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,The Waters at Settlers Trace,"Lafayette, LA",348.0,Pref,0.855,2022-09-15,2025-02-13,1.0,2024-05-31,2025-12-31,0.8937,59222938.996800005,170180.85918620692,49996842.0,0.8442141313301166,b1Bank,2022-08-24,-4436075.0,2026-06-30 00:00:00,69495324.56298561,199699.20851432648,Berkadia (HUD),54163985.822641246,0.7793903570239588,0.055,5939602.0423903065,83647.98500254295,42989.906027540754,4169719.4737791363,11981.952510859586,1537.9310344827586,0.07187619435788453,0.08339965699791871,0.11507838631312944,76299541.08310153,219251.55483649863,2036-06-30,0.06999999999999999,37196045.785518356,0.1850266754627228,-3273112.966638118,1.1606274682917208,43428.83363068325,0.36502444790149613,,,
14,The Waters at West Village,"Scott, LA",216.0,Pref,0.9025,2023-02-15,2024-10-29,1.0,2024-05-31,2025-12-31,0.8194,34617633.37579999,160266.82118425923,25390000.0,0.7334412414728871,Trustmark Bank,2022-12-15,-3941543.375799991,2026-06-30 00:00:00,39521279.83533306,182968.88812654192,Berkadia (HUD),30802504.40090401,0.7793903570239588,0.055,4479065.582689999,0,13695.076714400744,2371276.7901199833,10978.133287592515,1447.5,0.07005900038838044,0.09339412328160628,0.07643011480728439,43002386.57612475,199085.1230376146,2036-05-31,0.06991666666666667,19262666.103487357,0.1523820221424103,701682.8277374133,0.0,-143162.34641198308,0.2563049114160869,,,
15,The Waters at Bluebonnet,"Baton Rouge, LA",324.0,Pref,0.475,2023-03-27,2025-04-01,1.0,2024-06-30,2025-12-31,0.8889,54450949.29009778,168058.48546326475,39812626.2,0.731164960740917,Trustmark Bank,2023-04-12,-6154143.856118321,2026-06-30 00:00:00,65516416.89892858,202211.16326829809,Berkadia (HUD),51062863.55778647,0.7793903570239588,0.055,0,0,0,3930985.013935715,12132.669796097885,1599.6296296296296,0.07368071753094886,0.09873714419612226,0,64589154.76762615,199349.24310995726,2026-05-31,0.0625,12216308.935731834,0.2542774021625519,1367447.6881925762,1.3525308607783866,77295.82171430232,0.37660865376530683,,,
16,The Waters at Crestview,"Crestview, FL",288.0,Pref,0.9025,2023-08-14,2025-08-20,1.0,2025-01-31,2026-08-31,0.4688,49701568.56744498,172574.89085918397,31000000.0,0.623722769592936,Renasant Bank,2023-08-25,-8124373.805883566,2027-02-28 00:00:00,57586475.08734599,199953.0384977291,Berkadia (HUD),43012245.737324655,0.7469157588146272,0.055,8780988.576840837,1154730.228909245,39966.2927654596,3311222.3175223945,11497.299713619424,1607.692366842105,0.06807073529140967,0.10681362314588369,0.08137614560057747,73060423.5619193,253682.02625666425,2037-02-28,0.058,42249279.94929565,0.1628280103206635,4333603.581702054,0.16136814574314576,-153823.82,0.212845424946827,,,
