Project,Status,Units,Location,Product Type,Stabilized Date,Duration,IRR,Stoa IRR,YOC,Cap Rate,Spread,/Unit Cost Basis,/Unit Value,col_2,Loan Last Dollar,Pref Last Dollar,/Unit Cost Basis*,/Unit Loan Amount,/Unit Value_2,Cap Rate_2,Spread_2,/Unit Actual vs BS Values,Current Occupancy,Leases,Stoa %
The Waters at Hammond,Stabilized - Perm,312,"Hammond, LA",Garden,2023-05-30 00:00:00,43,0.2829317629337311,0.27381208539009094,0.08298048139910619,0.064,0.2287342888241021,131585.00644230767,177391.84096264432,The Waters at Hammond,101025.64102564103,0,121912.72996794869,126166.66666666667,174662.73571706517,0.065,0.2166832620869787,2729.1052455791505,0.939,11.0,0.914
The Waters at Millerville,Stabilized,295,"Baton Rouge, LA",Urban Garden,2025-03-31 00:00:00,46,0.16067231297492984,N/A,0.06985999821594154,0.064,0.08388202641843649,154955.0181016949,165236.83262711868,The Waters at Millerville,122711.86440677966,0,154955.0181016949,141497.26202907326,183915.7789240973,0.0575,0.176925258110314,-18678.946296978625,0.932,10.0,0.0
The Waters at Redstone,Stabilized,240,"Crestview, FL",Garden,2025-01-31 00:00:00,51,0.21850908398628238,0.27748171687126155,0.06761152233595986,0.05804912969906536,0.14143140557284348,167004.49600000007,190208.33333333334,The Waters at Redstone,125000,146153.55872338108,166007.0018900478,145988.33011673894,192024.83846103866,0.0575,0.149553241616362,-1816.5051277053135,0.892,4.0,0.855
The Waters at West Village,Lease-Up,216,"Scott, LA",Garden,2025-12-31 00:00:00,42,0.1523820221424103,0.1557934701442719,0.07005900038838044,0.064,0.08648425405432053,160266.82118425923,171533.33261863305,The Waters at West Village,117546.29629629629,142406.77153638125,161580.58346138123,142604.18704122226,182968.88812654192,0.06,0.14357898817592554,-11435.555507908866,0.824,14.0,0.5
The Waters at Settlers Trace,Lease-Up,348,"Lafayette, LA",Garden,2025-12-31 00:00:00,46,0.1850266754627228,0.19855563044548039,0.07187619435788453,0.064,0.10958001363660878,170180.85918620692,187218.00798218104,The Waters at Settlers Trace,134263.58619770117,155101.3832802379,167848.7252342609,155643.63742138288,199699.20851432648,0.06,0.1652312627843208,-12481.200532145449,0.911,14.0,0.9025
The Waters at Bluebonnet,Lease-Up,324,"Baton Rouge, LA",Garden,2025-12-31 00:00:00,38,0.2542774021625519,0.3454413831233979,0.07368071753094886,0.064,0.13138739490264287,168058.48546326475,189572.96556402947,The Waters at Bluebonnet,122878.47592592593,153936.2864024543,172930.55694602936,157601.43073390887,202211.16326829809,0.06,0.18567568272122775,-12638.19770426862,0.892,20.0,0.475
The Waters at Crestview,Lease-Up,288,"Crestview, FL",Garden,2026-08-31 00:00:00,42,0.1628280103206635,0.1683088600635529,0.06807073529140967,0.06,0.11856395052674235,172574.89085918397,191621.6618936571,The Waters at Crestview,107638.88888888889,139439.30888587076,174593.38460074423,149348.07547682172,199953.0384977291,0.0575,0.15529045258812801,-8331.376604072022,0.465,5.0,0.9025
The Heights at Picardy,Lease-Up,232,"Baton Rouge, LA",Urban,2026-08-31 00:00:00,40,0.21223115324974062,0.23325322270393375,0.07340129414968453,0.064,0.12808076831060802,188280.45762110225,212031.70707005844,The Heights at Picardy,149527.46287920582,171265.55957877694,185314.46906153558,176272.49906531445,236000.50873884765,0.0575,0.21663506527906187,-23968.80166878921,0.522,7.0,0.8929999999999999
The Waters at McGowin,Construction,252,"Mobile, AL",Garden,2026-10-31 00:00:00,39,0.2587606489658356,0.305358523130417,0.0815267966815067,0.061,0.2517797523886148,176028.6742960475,231164.8186794923,The Waters at McGowin,126253.05952380953,150944.18679083962,174564.94442022048,183170.424404688,235017.56565748382,0.06,0.2640456580871621,-3852.746977991512,0.361,15.0,0.874
The Waters at Freeport,Construction,226,"Freeport, FL",Urban,2027-01-31 00:00:00,39,0.1721668303012848,0.17982893586158757,0.06905906509886724,0.06,0.13117850764266764,219216.3343276571,248147.91838447857,The Waters at Freeport,154867.25663716815,192828.65388973674,220651.3163693895,193404.094704431,270706.82005579484,0.055,0.20358029867244531,-22558.90167131627,0.075,4.0,0.9215
